,scientific_name,park_name,total_observations,category,common_names,conservation_status
0,Abies bifolia,Bryce National Park,109,Vascular Plant,Rocky Mountain Alpine Fir,
1,Abies bifolia,Great Smoky Mountains National Park,72,Vascular Plant,Rocky Mountain Alpine Fir,
2,Abies bifolia,Yellowstone National Park,215,Vascular Plant,Rocky Mountain Alpine Fir,
3,Abies bifolia,Yosemite National Park,136,Vascular Plant,Rocky Mountain Alpine Fir,
4,Abies concolor,Bryce National Park,83,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",
5,Abies concolor,Great Smoky Mountains National Park,101,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",
6,Abies concolor,Yellowstone National Park,241,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",
7,Abies concolor,Yosemite National Park,205,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",
8,Abies fraseri,Bryce National Park,109,Vascular Plant,Fraser Fir,Species of Concern
9,Abies fraseri,Great Smoky Mountains National Park,81,Vascular Plant,Fraser Fir,Species of Concern
10,Abies fraseri,Yellowstone National Park,218,Vascular Plant,Fraser Fir,Species of Concern
11,Abies fraseri,Yosemite National Park,110,Vascular Plant,Fraser Fir,Species of Concern
12,Abietinella abietina,Bryce National Park,101,Nonvascular Plant,Abietinella Moss,
13,Abietinella abietina,Great Smoky Mountains National Park,65,Nonvascular Plant,Abietinella Moss,
14,Abietinella abietina,Yellowstone National Park,243,Nonvascular Plant,Abietinella Moss,
15,Abietinella abietina,Yosemite National Park,183,Nonvascular Plant,Abietinella Moss,
16,Abronia ammophila,Bryce National Park,92,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
17,Abronia ammophila,Great Smoky Mountains National Park,72,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
18,Abronia ammophila,Yellowstone National Park,222,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
19,Abronia ammophila,Yosemite National Park,137,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
20,Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,
21,Abutilon theophrasti,Great Smoky Mountains National Park,85,Vascular Plant,Velvetleaf,
22,Abutilon theophrasti,Yellowstone National Park,262,Vascular Plant,Velvetleaf,
23,Abutilon theophrasti,Yosemite National Park,138,Vascular Plant,Velvetleaf,
24,Acalypha gracilens,Bryce National Park,68,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
25,Acalypha gracilens,Great Smoky Mountains National Park,98,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
26,Acalypha gracilens,Yellowstone National Park,263,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
27,Acalypha gracilens,Yosemite National Park,160,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",
28,Acalypha ostryifolia,Bryce National Park,95,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
29,Acalypha ostryifolia,Great Smoky Mountains National Park,112,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
30,Acalypha ostryifolia,Yellowstone National Park,243,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
31,Acalypha ostryifolia,Yosemite National Park,150,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",
32,Acalypha rhomboidea,Bryce National Park,90,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",
33,Acalypha rhomboidea,Great Smoky Mountains National Park,96,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",
34,Acalypha rhomboidea,Yellowstone National Park,245,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",
35,Acalypha rhomboidea,Yosemite National Park,144,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",
36,Acalypha virginica,Bryce National Park,108,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",
37,Acalypha virginica,Great Smoky Mountains National Park,80,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",
38,Acalypha virginica,Yellowstone National Park,229,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",
39,Acalypha virginica,Yosemite National Park,143,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",
40,Acanthus flammea,Bryce National Park,95,Bird,"Common Redpoll, Redpoll",
41,Acanthus flammea,Great Smoky Mountains National Park,68,Bird,"Common Redpoll, Redpoll",
42,Acanthus flammea,Yellowstone National Park,241,Bird,"Common Redpoll, Redpoll",
43,Acanthus flammea,Yosemite National Park,120,Bird,"Common Redpoll, Redpoll",
44,Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern
45,Accipiter cooperii,Great Smoky Mountains National Park,65,Bird,Cooper's Hawk,Species of Concern
46,Accipiter cooperii,Yellowstone National Park,245,Bird,Cooper's Hawk,Species of Concern
47,Accipiter cooperii,Yosemite National Park,138,Bird,Cooper's Hawk,Species of Concern
48,Accipiter gentilis,Bryce National Park,109,Bird,Northern Goshawk,
49,Accipiter gentilis,Great Smoky Mountains National Park,78,Bird,Northern Goshawk,
50,Accipiter gentilis,Yellowstone National Park,232,Bird,Northern Goshawk,
51,Accipiter gentilis,Yosemite National Park,163,Bird,Northern Goshawk,
52,Accipiter striatus,Bryce National Park,62,Bird,Sharp-Shinned Hawk,Species of Concern
53,Accipiter striatus,Great Smoky Mountains National Park,69,Bird,Sharp-Shinned Hawk,Species of Concern
54,Accipiter striatus,Yellowstone National Park,200,Bird,Sharp-Shinned Hawk,Species of Concern
55,Accipiter striatus,Yosemite National Park,115,Bird,Sharp-Shinned Hawk,Species of Concern
56,Acer glabrum,Bryce National Park,30,Vascular Plant,Rocky Mountain Maple,
57,Acer glabrum,Great Smoky Mountains National Park,123,Vascular Plant,Rocky Mountain Maple,
58,Acer glabrum,Yellowstone National Park,247,Vascular Plant,Rocky Mountain Maple,
59,Acer glabrum,Yosemite National Park,124,Vascular Plant,Rocky Mountain Maple,
60,Acer glabrum var. torreyi,Bryce National Park,84,Vascular Plant,Torrey's Maple,
61,Acer glabrum var. torreyi,Great Smoky Mountains National Park,75,Vascular Plant,Torrey's Maple,
62,Acer glabrum var. torreyi,Yellowstone National Park,282,Vascular Plant,Torrey's Maple,
