,category,scientific_name,common_names,conservation_status
861,Vascular Plant,Iva annua,Iva,
1434,Vascular Plant,Quercus,Oak,
151,Bird,Philomachus pugnax,Ruff,
2113,Vascular Plant,Juncus dichotomus,Rush,
2527,Vascular Plant,Pyrus,Pear,
1931,Vascular Plant,Pinus,Pine,
177,Bird,Porzana carolina,Sora,
5241,Vascular Plant,Salvia columbariae,Chia,
1573,Vascular Plant,Mentha X gracilis,Mint,
1029,Vascular Plant,Brassica napus,Rape,
4142,Vascular Plant,Schoenoplectus acutus var. occidentalis,Tule,
2106,Vascular Plant,Juncus,Rush,
1953,Vascular Plant,Carex albicans var. australis,Sedge,
1952,Vascular Plant,Carex albicans var. albicans,Sedge,
663,Vascular Plant,Hosta lancifolia,Hosta,
2523,Vascular Plant,Prunus persica,Peach,
1963,Vascular Plant,Carex atlantica ssp. atlantica,Sedge,
3256,Reptile,Coluber constrictor,Racer,
1552,Vascular Plant,Clinopodium vulgare,Basil,
1149,Vascular Plant,Euonymus atropurpureus,Wahoo,
1377,Vascular Plant,Pueraria montana var. lobata,Kudzu,
1647,Vascular Plant,Mazus pumilus,Mazus,
1646,Vascular Plant,Mazus miquelii,Mazus,
2495,Vascular Plant,Geum aleppicum var. strictum,Avens,
1235,Vascular Plant,Galax urceolata,Galax,
302,Bird,Catharus fuscescens,Veery,
1455,Vascular Plant,Carya illinoinensis,Pecan,
2023,Vascular Plant,Carex oligocarpa,Sedge,
5197,Vascular Plant,Lithocarpus densiflorus var. echinoides,Tanoak,
4813,Vascular Plant,Micropus californicus var. californicus,Q-Tips,
21,Mammal,Martes pennanti,Fisher,
163,Bird,Falco columbarius,Merlin,Species of Concern
847,Vascular Plant,Heliopsis helianthoides,Ox-Eye,
2822,Nonvascular Plant,Cirriphyllum piliferum,A Moss,
729,Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,
7,Mammal,Canis latrans,Coyote,Species of Concern
3121,Bird,Calidris alpina,Dunlin,
1855,Vascular Plant,Viola septemloba,Violet,
3135,Bird,Tringa semipalmata,Willet,
15,Mammal,Lynx rufus,Bobcat,
1860,Vascular Plant,Viola walteri,Violet,
2940,Nonvascular Plant,Aneura pinguis,Aneura,
2730,Nonvascular Plant,Dichodontium pellucidum,A Moss,
4456,Mammal,Pekania pennanti,Fisher,
146,Bird,Catoptrophorus semipalmatus,Willet,
406,Reptile,Trachemys scripta,Slider,
554,Fish,Stizostedion canadense,Sauger,
2687,Nonvascular Plant,Blasia pusilla,Blasia,
1302,Vascular Plant,Samolus valerandi ssp. parviflorus,Samolus,
995,Vascular Plant,Lobelia spicata var. leptostachys,Lobelia,
641,Vascular Plant,Panax quinquefolius,Ginseng,
114,Bird,Aythya americana,Redhead,
1772,Vascular Plant,Chamaesyce nutans,Eyebane,
1367,Vascular Plant,Medicago sativa,Alfalfa,
2303,Vascular Plant,Setaria faberi,Foxtail,
4555,Bird,Chamaea fasciata,Wrentit,
4524,Bird,Psaltriparus minimus,Bushtit,
1224,Vascular Plant,Weigela florida,Weigela,
1896,Vascular Plant,Ludwigia uruguayensis,Seedbox,
12,Mammal,Vulpes vulpes,Red Fox,
111,Bird,Anas platyrhynchos,Mallard,
1443,Vascular Plant,Quercus palustris,Pin Oak,
790,Vascular Plant,Eclipta prostrata,Eclipta,
5713,Vascular Plant,Adenostoma fasciculatum,Chamise,
555,Fish,Stizostedion vitreum,Walleye,
170,Bird,Pavo cristatus,Peacock,
769,Vascular Plant,Cirsium,Thistle,
1650,Vascular Plant,Phryma leptostachya,Lopseed,
3084,Bird,Anas strepera,Gadwall,
5706,Vascular Plant,Ceanothus diversifolius,Pinemat,
664,Vascular Plant,Liriope spicatum,Liriope,
4845,Vascular Plant,Tanacetum parthenium,Feverfew,
1159,Vascular Plant,Murdannia keisak,Aneilema,
2930,Nonvascular Plant,Bazzania tricrenata,Bazzania,
2928,Nonvascular Plant,Bazzania denudata,Bazzania,
1393,Vascular Plant,Thermopsis fraxinifolia,Bush-Pea,
2417,Vascular Plant,Clematis terniflora,Clematis,
5233,Vascular Plant,Lepechinia calycina,Woodbalm,
2423,Vascular Plant,Hepatica nobilis,Hepatica,
3201,Bird,Seiurus aurocapillus,Ovenbird,
230,Bird,Dolichonyx oryzivorus,Bobolink,
468,Amphibian,Necturus maculosus maculosus,Mudpuppy,
1189,Vascular Plant,Dioscorea villosa,Wild Yam,
5199,Vascular Plant,Quercus douglasii,Blue Oak,
2353,Vascular Plant,Dryopteris celsa,Log Fern,
135,Bird,Charadrius vociferus,Killdeer,
3778,Vascular Plant,Adoxa moschatellina,Muskroot,
4823,Vascular Plant,Rigiopappus leptocladus,Wireweed,
4599,Amphibian,Lithobates catesbeianus,Bullfrog,
480,Fish,Carassius auratus,Goldfish,
980,Vascular Plant,Verbesina alternifolia,Wingstem,
2384,Vascular Plant,Platanus occidentalis,Sycamore,
793,Vascular Plant,Erechtites hieracifolia,Burnweed,
4610,Fish,Mylopharodon conocephalus,Hardhead,
272,Bird,Seiurus aurocapilla,Ovenbird,
